name	common	Ren_RNASEQ
NM_028778	Nuak2	4.54285
NM_175642	Bai3	0.1574295
NM_008922	Prim2	9.400635
NM_175370	Als2cr12	0.03509635
NM_027671	Sntg1	0.00727115
NM_198680	Serpinb3b	0
NM_178884	Obsl1	2.922715
NM_199021	Dpp10	0.0059745
NM_001113392	Cd247	2.537
NM_011465	Spna1	0.2223525
NM_001113394	Cd247	3.860315
NM_031162	Cd247	3.674865
NM_130890	Capn8	0
NM_001113391	Cd247	0
NM_001113393	Cd247	0
NM_145381	Lactb2	25.83715
NM_177173	A830018L16Rik	0.0533075
NM_001160370	A830018L16Rik	0.382725
NM_001160371	A830018L16Rik	0.0926136
NM_001160369	A830018L16Rik	0
NM_177834	Cpa6	0.03012635
NM_027974	Efhc1	1.07679
NM_133235	Khdrbs2	0.0224341
NM_001081198	Tmem182	0
NM_201365	Fam178b	1.0439195
NM_001126046	Fam178b	1.184989
NM_028096	2010300C02Rik	0.1976265
NM_009418	Tpp2	24.4963
NM_001160386	Dnahc7b	0.04623355
NM_001114663	Plcl1	0.0466708
NM_001081050	Pard3b	0.10137915
NM_007642	Cd28	0.01742135
NM_029160	Spag16	0.1640935
NM_025728	Spag16	0
NM_010154	Erbb4	0.150908
NM_175210	Abca12	0.0489015
NM_010472	Agfg1	29.33065
NM_175291	Dock10	0.00417471
NM_023314	Eif4e2	6.66409
NM_030184	Armc9	0.142004
NM_027456	Armc9	1.607785
NM_011066	Per2	0.07969005
NM_173760	Ppip5k2	9.675005
NM_009183	St8sia4	0.078431
NM_145519	Farp2	0.58563
NM_172851	Cntnap5b	0.00540155
NM_019933	Ptpn4	3.853355
NM_019777	Ikbke	0.6673315
NM_181750	R3hdm1	20.01175
NM_176957	Nckap5	0
NM_001081756	Nckap5	0
NM_172484	Nckap5	0.02856765
NM_028320	Adipor1	45.68475
NM_021605	Nek7	8.1789
NM_001081258	Kif14	5.839905
NM_175443	Etnk2	0.6900905
NM_173437	Nav1	4.480085
NM_001081290	Bat2l2	53.2773
NM_007495	Astn1	0.0410606
NM_022312	Tnr	0.00565115
NM_013862	Rabgap1l	2.027255
NM_022563	Ddr2	0.212723
NM_023041	Pex19	13.01255
NM_001159525	Pex19	0
NM_011880	Rgs7	0.0253117
NM_026626	Efcab2	0.759355
NM_027188	Smyd3	3.513865
NM_133684	Mosc2	7.05705
NM_001011874	Xkr4	0.2651685
NM_133826	Atp6v1h	19.56265
NM_001159750	Tcea1	19.2074
NM_001159751	Tcea1	1.1989675
NM_021374	Rgs20	0.3050505
NM_011541	Tcea1	1.45542
NM_173868	St18	0.009918785
NM_133220	Sgk3	0
NM_177547	Sgk3	0
NR_015470	2610203C22Rik	0.098111
NM_026493	Cspp1	9.64871
NM_145692	Lrrc67	0.0393119
NM_001033636	Prex2	0.2330455
NM_029525	Prex2	0.342834
NM_172294	Sulf1	9.171905
NM_172841	Slco5a1	0.933736
NM_008678	Ncoa2	5.327255
NM_001077695	Ncoa2	0
NM_001081209	Prdm14	2.21483
NM_010164	Eya1	0.2888785
NM_001098528	Kcnb2	0.01095195
NM_026456	Tceb1	44.473
NM_025303	Stau2	1.6137
NM_001033288	Gm106	0.408986
NM_001111272	Stau2	0.8637705
NM_133832	Rdh10	5.504525
NM_020604	Jph1	3.25686
NM_153154	Tcfap2d	0.0175218
NM_153179	Pkhd1	0.013711605
NM_001077353	Gsta3	0.1907305
NM_010356	Gsta3	0.225003
NM_001160139	Kcnq5	0
NM_023872	Kcnq5	0.0859982
NM_053270	Rims1	0
NM_183018	Rims1	0.6527345
NM_001012625	Rims1	0.6709
NM_001012623	Rims1	0
NM_001012624	Rims1	0.136934
NM_028534	Smap1	16.9237
NM_007733	Col19a1	0.00492944
NM_026719	Lmbrd1	1.881185
NM_007740	Col9a1	0
NM_001033764	4931408C20Rik	0
NM_001013750	Gm597	0
NM_133833	Dst	0
NM_134448	Dst	37.97565
NM_177235	Bend6	1.28142
NM_183019	Arhgef4	1.093405
NM_053186	Cnnm3	1.88659
NM_001039551	Cnnm3	2.264465
NM_009539	Zap70	0.233548
NM_198006	6330578E17Rik	15.44895
NM_018872	Tmem131	16.53975
NM_027111	Lyg1	0
NM_019570	Rev1	14.2572
NM_010678	Aff3	1.411365
NM_207228	Tsga10	0.487984
NM_145142	Chst10	1.69257
NM_008719	Npas2	0.180137
NM_018775	Tbc1d8	5.238335
NM_008696	Map4k4	37.43745
NM_008362	Il1r1	0.02573365
NM_010743	Il1rl1	0.089516
NM_001123382	Il1r1	0.0172562
NM_001033289	Slc9a2	0
NM_001025602	Il1rl1	0
NR_027826	2610017I09Rik	0
NM_010879	Nck2	3.927775
NM_001013025	Tgfbrap1	2.0833
NM_028450	Gulp1	1.673575
NM_023645	Kdelc1	7.862665
NM_007737	Col5a2	0.4696065
NM_028599	Wdr75	23.2171
NM_019790	Tmeff2	0.06052335
NM_010863	Myo1b	5.870885
NM_001161817	Myo1b	2.560625
NR_024590	Tmem194b	2.844005
NM_153556	Pms1	5.584235
NM_146108	Hibch	4.730425
NM_001142647	Tmem194b	0.99417
NM_030025	Ccdc150	0.229837
NM_001001883	Hecw2	0.840622
NM_172655	Hecw2	0
NM_031179	Sf3b1	43.70745
NM_001081433	Ankrd44	0.301801
NM_139146	Satb2	1.36581
NM_001164566	Spats2l	0.1745365
NM_025824	Bzw1	45.08975
NM_144882	Spats2l	1.2603
NM_199007	Sgol2	23.3113
NM_172513	Fam126b	2.067045
NM_023617	Aox3	0.08505855
NM_001159948	Als2	0.7736165
NM_172406	Trak2	4.825945
NM_175200	Als2cr11	0.0129779
NM_001033373	Cdk15	0
NM_028717	Als2	4.81463
NM_001013771	Gm973	0.10552185
NM_001037725	Fam117b	5.053245
NM_139150	Carf	2.2495
NM_173444	Nbeal1	5.87926
NM_007561	Bmpr2	9.24168
